GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LoadBalancer.new LoadBalancer() {...},166,0,24,0,25,0,15,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,FingerprintMap.FingerprintParams,25,0,6,0,6,0,5,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,SimpleParameterDefinition,50,0,4,0,11,0,6,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.DownloadJob.Installing,10,0,0,0,3,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,MyViewsProperty.new ViewGroupMixIn() {...},20,0,0,0,5,0,4,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ParametersAction,286,11,50,0,57,5,40,2,15,2
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ComputerSet.new AbstractList() {...},21,0,0,0,5,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,DependencyGraph.DependencyGroup,36,0,0,0,11,0,5,0,5,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Computer.DisplayExecutor,89,0,8,0,23,0,11,0,7,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.DownloadJob.Success,9,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.PageDecoratorImpl,3,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,FileParameterValue.new VariableResolver() {...},18,0,2,0,3,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LargeText.ByteBuf,69,0,14,0,14,0,10,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,CheckPoint,77,0,6,0,19,0,12,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,PasswordParameterValue.new VariableResolver() {...},19,0,2,0,3,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ResourceController.new Callable() {...},16,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,View.PropertyList,23,4,2,0,6,2,4,1,3,1
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ResourceController.new Runnable() {...},55,0,2,0,9,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LargeText.new LargeText.Source() {...},21,0,0,0,5,0,4,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.DownloadJob.InstallationStatus,18,0,0,0,5,0,4,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,PaneStatusProperties.DescriptorImpl,9,0,0,0,3,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,View.UserInfo,77,0,10,0,20,0,13,0,8,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LoadBalancer.new LoadBalancer() {...},22,0,2,0,6,0,4,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,JDK.ConverterImpl,8,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.RestartJenkinsJob.Canceled,7,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,MyView.DescriptorImpl,8,0,0,0,3,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.StubItem,9,0,0,0,3,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,User.new ACL() {...},30,0,6,0,4,0,5,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,OverallLoadStatistics,53,0,0,0,9,0,7,0,7,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ResourceList,58,217,6,19,8,34,5,19,1,10
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,FingerprintMap,98,0,4,0,15,0,11,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Node.Mode,12,56,0,0,2,8,3,3,3,3
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ParameterDefinition,64,10,0,0,18,2,11,1,11,1
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TransientComputerActionFactory,29,0,2,0,6,0,4,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Fingerprint.ProjectRenameListener,82,0,10,0,15,0,8,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Slave.JnlpJar,122,0,6,0,27,0,9,0,6,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,User.FullNameIdResolver,26,0,4,0,5,0,5,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Node.new TagCloud.WeightFunction() {...},10,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Build.BuildExecution,326,0,48,0,48,0,29,0,5,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LargeText,195,0,16,0,52,0,15,0,7,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,StringParameterDefinition.DescriptorImpl,7,0,0,0,3,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ParametersDefinitionProperty.DescriptorImpl,9,0,0,0,3,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ViewDescriptor,40,0,0,0,10,0,8,0,8,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Hudson,226,0,30,0,61,0,36,0,21,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ItemGroupMixIn,576,0,56,0,131,0,37,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UsageStatistics,381,0,30,0,77,0,24,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,DownloadService.DownloadableListener,75,0,6,0,14,0,7,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Job.new HistoryWidget.Adapter() {...},33,3,0,0,10,2,4,1,4,1
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,StockStatusIcon,33,0,0,0,6,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateSite.Plugin,531,0,66,0,97,0,50,0,17,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Label.new LabelVisitor() {...},57,0,0,0,13,0,9,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractProject.BecauseOfUpstreamBuildInProgress,11,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.new Runnable() {...},31,0,0,0,5,0,2,0,2,0
